Wavelength(nm)	Extraterrestrial(W/m2/nm)
280	0.11635
290	0.445525
300	0.525375
310	0.645025
320	0.72
330	0.989175
340	0.94695
350	0.99355
360	0.97685
370	1.150525
380	1.086675
390	1.0593
400	1.5028
410	1.7085
420	1.7415
430	1.5625
440	1.826
450	1.9915
460	2.041
470	1.999
480	2.041
490	1.8915
500	1.919
510	1.9265
520	1.8185
530	1.8745
540	1.8635
550	1.867
560	1.834
570	1.836
580	1.8355
590	1.778
600	1.7675
610	1.728
620	1.6845
630	1.6585
640	1.63
650	1.5835
660	1.5135
670	1.5325
680	1.4925
690	1.4635
700	1.4225
710	1.392
720	1.352
730	1.327
740	1.289
750	1.2785
760	1.2575
770	1.213
780	1.197
790	1.165
800	1.1355
810	1.1155
820	1.083
830	1.061
840	1.0415
850	0.98015
860	0.99795
870	0.9497
880	0.94765
890	0.93305
900	0.9153
910	0.8993
920	0.8767
930	0.8673
940	0.8397
950	0.82255
960	0.80105
970	0.78495
980	0.7741
990	0.76045
1000	0.7406
1010	0.72335
1020	0.7035
1030	0.69055
1040	0.6755
1050	0.6602
1060	0.64535
1070	0.62645
1080	0.6156
1090	0.59825
1100	0.5902
1110	0.58505
1120	0.5741
1130	0.56445
1140	0.55195
1150	0.54775
1160	0.5348
1170	0.5275
1180	0.51385
1190	0.5089
1200	0.4967
1210	0.4895
1220	0.48355
1230	0.47295
1240	0.4625
1250	0.45675
1260	0.448
1270	0.4408
1280	0.4271
1290	0.4241
1300	0.41345
1310	0.4049
1320	0.3963
1330	0.3868
1340	0.3801
1350	0.3746
1360	0.3672
1370	0.36215
1380	0.35615
1390	0.3512
1400	0.3444
1410	0.33795
1420	0.3334
1430	0.3267
1440	0.3216
1450	0.31695
1460	0.312
1470	0.30705
1480	0.30315
1490	0.29745
1500	0.2918
1510	0.28835
1520	0.2848
1530	0.2803
1540	0.276
1550	0.27145
1560	0.2669
1570	0.2627
1580	0.25655
1590	0.2505
1600	0.24985
1610	0.24415
1620	0.23835
1630	0.2383
1640	0.2273
1650	0.22675
1660	0.22405
1670	0.21815
1680	0.20995
1690	0.2106
1700	0.20675
1710	0.201
1720	0.19875
1730	0.19125
1740	0.187
1750	0.18525
1760	0.1825
1770	0.17925
1780	0.1755
1790	0.17325
1800	0.169
1810	0.1655
1820	0.1595
1830	0.15975
1840	0.15575
1850	0.1525
1860	0.149
1870	0.14275
1880	0.143
1890	0.141
1900	0.13925
1910	0.13725
1920	0.135
1930	0.132
1940	0.128
1950	0.125
1960	0.12575
1970	0.12325
1980	0.12025
1990	0.119
2000	0.1165
2010	0.11475
2020	0.1125
2030	0.11025
2040	0.10775
2050	0.10625
2060	0.10325
2070	0.10125
2080	0.099475
2090	0.097325
2100	0.09605
2110	0.094725
2120	0.093075
2130	0.092025
2140	0.0908
2150	0.08955
2160	0.086675
2170	0.08465
2180	0.084925
2190	0.0836
2200	0.0825
2210	0.080725
2220	0.0798
2230	0.078375
2240	0.0768
2250	0.07535
2260	0.07395
2270	0.073025
2280	0.0717
2290	0.070775
2300	0.069475
2310	0.06885
2320	0.06725
2330	0.065925
2340	0.0653
2350	0.064075
2360	0.06295
2370	0.0623
2380	0.061025
2390	0.06
2400	0.059725
2410	0.0587
2420	0.057475
2430	0.05705
2440	0.056175
2450	0.05475
2460	0.054375
2470	0.053625
2480	0.05235
2490	0.051275
2500	0.050625
2510	0.0497
2520	0.048175
2530	0.04755
2540	0.046825
2550	0.046275
2560	0.045475
2570	0.044875
2580	0.044
2590	0.043275
2600	0.0429
2610	0.042525
2620	0.041675
2630	0.041
2640	0.0404
2650	0.03995
2660	0.0394
2670	0.03895
2680	0.0384
2690	0.037825
2700	0.03715
2710	0.036725
2720	0.036375
2730	0.03595
2740	0.035525
2750	0.035175
2760	0.034625
2770	0.034225
2780	0.033625
2790	0.033175
2800	0.03275
2810	0.0324
2820	0.032075
2830	0.031675
2840	0.031225
2850	0.0307
2860	0.0302
2870	0.02965
2880	0.02935
2890	0.0291
2900	0.028825
2910	0.028475
2920	0.028
2930	0.027575
2940	0.027075
2950	0.0267
2960	0.026425
2970	0.026125
2980	0.025825
2990	0.025525
3000	0.025275
3010	0.025
3020	0.0247
3030	0.024375
3040	0.024
3050	0.023975
3060	0.02375
3070	0.023425
3080	0.0232
3090	0.0228
3100	0.022425
3110	0.022075
3120	0.0217
3130	0.0215
3140	0.021225
3150	0.020925
3160	0.020725
3170	0.02055
3180	0.020325
3190	0.020175
3200	0.01995
3210	0.019775
3220	0.0195
3230	0.019375
3240	0.0192
3250	0.01905
3260	0.0188
3270	0.0186
3280	0.0184
3290	0.018225
3300	0.017925
3310	0.017725
3320	0.017375
3330	0.017125
3340	0.0169
3350	0.016625
3360	0.0164
3370	0.0162
3380	0.016025
3390	0.0159
3400	0.015675
3410	0.01555
3420	0.0154
3430	0.015225
3440	0.0151
3450	0.014925
3460	0.014825
3470	0.0147
3480	0.014525
3490	0.0144
3500	0.014225
3510	0.0141
3520	0.013925
3530	0.013825
3540	0.013725
3550	0.0136
3560	0.013425
3570	0.0133
3580	0.013125
3590	0.013
3600	0.012875
3610	0.012725
3620	0.012625
3630	0.012525
3640	0.012425
3650	0.0123
3660	0.0122
3670	0.01205
3680	0.0119
3690	0.011775
3700	0.011625
3710	0.011525
3720	0.011425
3730	0.011325
3740	0.01115
3750	0.011025
3760	0.010925
3770	0.010875
3780	0.010725
3790	0.010625
3800	0.010525
3810	0.010425
3820	0.010325
3830	0.010275
3840	0.010175
3850	0.010075
3860	0.0099475
3870	0.00985
3880	0.0097575
3890	0.009685
3900	0.0096025
3910	0.0095325
3920	0.00943
3930	0.009335
3940	0.00924
3950	0.009125
3960	0.0090325
3970	0.008945
3980	0.0088475
3990	0.008765
4000	0.00868
